r1	r2	m	s
library	elm	1976	0.0330464199735
chair	fox	1964	0.05967114971
spade	hat	1939	0.0513239847844
pigeon	jet	1980	0.0477644434145
musket	cherry	1941	0.0451570886427
coat	train	1976	0.0823556394088
gun	hospital	1944	0.0228973663301
rabbit	lemon	1958	0.0659579967834
wrench	couch	1951	0.0880998733308
cedar	robin	1978	0.0197287942543
spear	willow	1964	0.0526599116492
hotel	hatchet	1952	0.0735924297892
swan	van	1956	0.0496722674449
apple	table	1947	0.0570291878763
squirrel	cloak	1966	0.0400609335952
