r1	r2	m	s
sword	cathedral	1980	0.0601881024539
sparrow	dresser	1958	0.0443786237988
cherry	hat	1965	0.0489420214531
beaver	cedar	1967	0.0163618645013
frigate	spoon	1954	0.0598940823287
table	grape	1931	0.0231680965379
shirt	gun	1945	0.0878074620707
elm	car	1975	0.0799573184049
library	spade	1936	0.0379997637758
horse	goose	1941	0.0138849109508
willow	coat	1958	0.0655655545842
cottage	pistol	1936	0.0816648838637
cat	chair	1951	0.0222712088745
apple	jet	1935	0.0840767269278
hawk	hatchet	1976	0.0118325268124
